Number,X,Y,Depth,Dip,Azimuth,Amplitude,Sweetness,Variance,Envople,Polarity,CosPhase,AI,Ampl_Contrast,Rms_Amplitude,Facies,facies_labels 
1,14941.892,299300.9385,3302.34,5.2,340.99,-2360.61,5274.5,0.29,5274.5,0,-0.45,17672.24,0.48,4027.26,3,Slt
2,14957.5764,299337.5415,3166.59,1.42,222.14,-5160.13,5200.48,0.14,5200.48,-0.41,-0.99,18019.84,0.41,3312.61,3,Slt
3,14963.71,299351.7345,3199.78,15.09,205.79,-2627.83,7163.48,0.03,7163.48,0,-0.37,18214.64,0.28,5482.13,3,Slt
4,14950.9888,299383.5885,3166.42,4.58,114.18,14401.76,14494.81,0.02,14494.81,0.72,0.99,18636.33,0.27,9162.21,4,ShSlt
5,15020.5272,299323.929,3250.51,6.62,198.34,10330.06,10841.32,0.01,10841.32,-0.12,0.95,16661.43,0.25,6775.25,2,Fsand
6,15058.4156,299302.8795,3240.65,3.75,211.37,1457.91,4497.27,0.03,4497.27,0,0.32,15615.76,0.3,3805.1,1,Csand
7,15064.4,299309.2895,3223.16,6.49,210.7,75.64,4284.14,0.15,4284.14,0,0.02,15094.49,0.4,3090.52,1,Csand
8,14955.7528,299426.294,3110.54,4.92,342.71,6079.03,9841.38,0.04,9841.38,0.02,0.62,17203.56,0.35,7328.8,2,Fsand
9,15089.01,299306.385,3170.75,6.84,229.71,-4706.51,5489.31,0.03,5489.31,0,-0.86,14977.67,0.28,4181.22,1,Csand
10,15029.846,299366.286,3177.18,7.95,19.3,7749.5,10254.56,0.01,10254.56,0.34,0.76,15992.33,0.24,6584.65,1,Csand
11,15113.042,299301.9625,3191.93,4.68,150.22,-4581.4,5135.43,0.03,5135.43,0,-0.89,15879.71,0.29,3738.33,1,Csand
12,14982.464,299432.874,3160.94,6.69,42.32,4931.44,6296.55,0.03,6296.55,0,0.78,17951.69,0.31,5046.36,3,Slt
13,15015.5712,299401.1715,3198.69,70.19,198.26,1002.31,4203.96,0.37,4203.96,0.79,0.24,21608.96,0.54,2547.61,5,Sh
14,15067.0264,299361.7895,3157.08,11.84,358.64,2262.66,4713.43,0.09,4713.43,0,0.48,16844.78,0.4,4722.4,2,Fsand
15,15122.8164,299321.011,3138.64,7.97,171.21,-4254.96,11530.12,0.03,11530.12,-0.4,-0.37,15535.56,0.28,7207.82,1,Csand
16,15011.8064,299432.5575,3141.61,4.58,14.13,-4334.4,10693.39,0.04,10693.39,0.02,-0.41,15979.82,0.31,7694.49,1,Csand
17,15059.4852,299392.229,3190.45,3.69,59.47,-3731.56,4226.52,0.12,4226.52,0,-0.88,20162.43,0.35,2322.41,4,ShSlt
18,14957.794,299503.372,3191.33,3.27,215.76,7320.95,7376.91,0.01,7376.91,-0.08,0.99,19189.07,0.26,4936.35,4,ShSlt
19,15066.6696,299405.7745,3206.92,3.61,345.7,1017,3239.72,0.02,3239.72,0,0.31,18136.43,0.32,4003.17,3,Slt
20,15064.9884,299414.4715,3146.73,1.9,28.64,-5000.83,13077.51,0.02,13077.51,-0.8,-0.38,15662.84,0.27,8529.74,1,Csand
21,15077.876,299412.223,3146.19,3.36,352.92,-2063.21,15392.23,0.01,15392.23,0,-0.13,14871.92,0.23,10763.26,1,Csand
22,15098.3204,299403.6495,3151.21,0.47,285.08,-5075.62,7511.13,0.03,7511.13,0,-0.68,16297.51,0.29,5284.98,1,Csand
23,15032.3764,299479.2855,3177.57,4.66,7.81,8198.29,11080.08,0.01,11080.08,-0.11,0.74,17022.37,0.25,7609.14,2,Fsand
24,15031.8808,299492.822,3197.72,1.72,349.84,6260.1,7717.44,0.01,7717.44,-0.11,0.81,17528.19,0.24,5298.22,3,Slt
25,15093.1184,299446.34,3182,3.13,28.78,-1198.83,6659.89,0.01,6659.89,-0.6,-0.18,16663,0.22,4926.06,2,Fsand
26,15116.3248,299441.4895,3178.74,2.59,300.78,3283.97,4823.65,0.1,4823.65,-0.09,0.68,17162.52,0.36,3127.98,2,Fsand
27,15105.0508,299472.8375,3108.26,3.84,224.05,2236.79,5416.64,0.06,5416.64,-0.02,0.41,16956.99,0.33,3855.89,2,Fsand
28,15114.5184,299498.0205,3101.12,1.85,51.91,-2978.34,3066.48,0.34,3066.48,-0.83,-0.97,22047.64,0.51,1808.18,5,Sh
